cardID,cardName,description,jackpot,cardTyoe,damage,strength,defense,poison,peek,madness,art,specialID,specialVal,notes
0,Starchy Dormouse,,-1,Defense,0,0,5,0,0,0,,-1,,
1,Hedgehog Mallet,,-1,Damage,8,0,0,0,0,0,,-1,,
2,Vorpal Snicker,,31,Damage,14,0,0,0,0,0,,-1,,
3,Whispering Shadows,,-1,Bomb,0,0,0,0,0,1,,2,1,did not add elite or queen stuff yet
4,Deepening Delusions,,-1,Bomb,2,0,0,0,0,2,,-1,,did not add elite or queen stuff yet
5,Journey’s End,,-1,Bomb,0,0,-4,0,0,3,,-1,,did not add elite or queen stuff yet
6,Insidious Brew,,32,Poison,0,0,0,10,0,0,,-1,,
7,Poisoned Cocktail,,33,Poison,0,0,0,0,0,0,,0,2,
8,A Mad Tea Party,,-1,Poison,0,0,0,0,0,0,,1,2,
9,Bitter Drip,,-1,,5,0,0,6,0,0,,-1,,
10,Lucid Dream,,-1,,0,0,0,0,3,0,,-1,,
11,Looking Glass,,-1,,0,0,0,0,2,0,,-1,,
12,“Off With Their Heads!”,,34,,15,0,0,0,0,0,,-1,,
13,Royal Decree,,35,,5,0,0,0,0,0,,-1,,
14,Heart-Shaped Box,,36,,0,0,5,0,0,0,,-1,,
15,Red Paint,,37,,10,0,0,0,0,0,,-1,,
16,Floating Paw,,-1,Damage,0,0,0,0,0,0,,1,2,
17,Detached Head,,-1,Defense,0,0,0,0,0,0,,1,2,
18,Wide Grin,,-1,,0,0,0,0,0,0,,4,,
19,The Mushroom’s Edge,,-1,,5,0,0,0,1,0,,-1,,
20,Pupa Shell,,-1,,10,0,0,0,0,0,,-1,,
21,Shell Smash,,-1,Damage,0,0,0,0,0,0,,5,2,
22,Relaxing Exhale,,-1,,0,0,0,0,0,0,,6,4,
23,Frozen Time,,-1,,0,0,0,0,0,0,,7,1,
24,Foresight,,-1,,0,0,5,0,1,0,,-1,,
25,Risky Gamble,,-1,,0,0,0,0,0,0,,6,7,
26,Pocket Watch Reset,,-1,,0,0,0,0,0,0,,8,,
27,Battle Cry,,-1,,0,2,0,0,0,0,,-1,,
28,Calm Mind,,-1,,0,1,4,0,0,0,,-1,,
29,Blood Rush,,-1,,0,3,0,0,0,0,,3,2,
30,Steady Stance,,38,,0,1,0,0,0,0,,-1,,
31,Vorpal Snicker Jackpot,,-1,Damage,20,0,0,0,0,0,,-1,,
32,Insidious Brew Jackpot,,-1,Poison,20,0,0,0,0,0,,-1,,
33,Poisoned Cocktail Jackpot,,-1,Poison,0,0,0,0,0,0,,0,3,
34,“Off With Their Heads!” Jackpot,,-1,Damage,30,0,0,0,0,0,,-1,,
35,Royal Decree Jackpot,,-1,Damage,,0,0,0,0,0,,0,2,
36,Heart-Shaped Box Jackpot,,-1,Defense,0,0,20,0,0,0,,-1,,
37,Red Paint Jackpot,,-1,Defense,0,0,10,0,0,0,,-1,,
38,Steady Stance Jackpot,,-1,Defense,0,0,0,0,0,0,,0,2,
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,
