cardID,cardName,description,jackpot,cardType,damage,strength,defense,poison,peek,madness,art,specialID,notes
0,Starchy Dormouse,5 🛡️,-1,Defense,0,0,5,0,0,0,Block,,
1,Hedgehog Mallet,8 ⚔️,-1,Damage,8,0,0,0,0,0,Attack,,
2,Vorpal Snicker,14 ⚔️ \n Jackpot: 20 ⚔️ instead,31,Damage,14,0,0,0,0,0,Attack,,
3,Whispering Shadows,,-1,Bomb,0,0,0,0,0,1,Madness1,,did not add elite or queen stuff yet
4,Deepening Delusions, -2 🛡️,-1,Bomb,0,0,-2,0,0,2,Madness2,,did not add elite or queen stuff yet
5,Journeyâ€™s End,Enemy gains 2 💪,-1,Bomb,0,2,0,0,0,3,Madness3,,did not add elite or queen stuff yet
6,Insidious Brew,10 🧪 \n Jackpot: 20 🧪 instead,32,Poison,0,0,0,10,0,0,Poison,,
7,Poisoned Cocktail,2x 🧪 \n Jackpot: 3x 🧪 instead,33,Poison,0,0,0,0,0,0,Poison,MULT_POI_2,
8,A Mad Tea Party,2 🧪 per card,-1,Poison,0,0,0,0,0,0,Poison,PER_POI_2,
9,Bitter Drip,5 ⚔️ 6 🧪,-1,Other,5,0,0,6,0,0,AttackPoison,,
10,Lucid Dream,3 👁️,-1,Other,0,0,0,0,3,0,Peek,,
11,Looking Glass,2 👁️,-1,Other,0,0,0,0,2,0,Peek,,
12,â€œOff With Their Heads!â€,15 ⚔️ \n Jackpot: 30 ⚔️ instead,34,Other,15,0,0,0,0,0,Attack,,
13,Royal Decree,5 ⚔️ \n Jackpot: 2x ⚔️,35,Damage,5,0,0,0,0,0,Attack,,
14,Heart-Shaped Box,5 🛡️ \n Jackpot: 20 🛡️ instead,36,Other,0,0,5,0,0,0,Block,,
15,Red Paint,10 ⚔️ \n Jackpot: 10 🛡️,37,Other,10,0,0,0,0,0,Attack,,
16,Floating Paw,2 ⚔️ per card,-1,Damage,0,0,0,0,0,0,Attack,PER_DMG_2,
17,Detached Head,2 🛡️ per card,-1,Defense,0,0,0,0,0,0,Block,PER_DEF_2,
18,Wide Grin,Copy the previous card,-1,Other,0,0,0,0,0,0,,COPY,
19,The Mushroomâ€™s Edge,5 ⚔️ 1 👁️,-1,Other,5,0,0,0,1,0,AttackPeek,,
20,Pupa Shell,10 🛡️,-1,Other,0,0,10,0,0,0,Block,,
21,Shell Smash,Deal ⚔️ equal to your 🛡️,-1,Damage,0,0,0,0,0,0,Attack,EQ_DMG_DEF,
22,Relaxing Exhale,Set your MADNESS to 4,-1,Other,0,0,0,0,0,0,,MAD_4,
23,Frozen Time,Shuffle a card in your hand back into your deck.,-1,Other,0,0,0,0,0,0,,SHUFFLECARD_1,
24,Foresight,5 🛡️ 1 👁️,-1,Other,0,0,5,0,1,0,PeekBlock,,
25,Risky Gamble,Set your MADNESS to 7,-1,Other,0,0,0,0,0,0,,MAD_7,
26,Pocket Watch Reset,You may shuffle your hand into your deck,-1,Other,0,0,0,0,0,0,,SHUFFLEHAND,
27,Battle Cry,2 💪,-1,Other,0,2,0,0,0,0,Strength,,
28,Calm Mind,1 💪 4 🛡️,-1,Other,0,1,4,0,0,0,Strength,,
29,Blood Rush,3 💪 Cannot gain 🛡️ this turn,-1,Other,0,3,0,0,0,0,Strength,DIS_DEF,
30,Steady Stance,1 💪 \n Jackpot: 2x 💪,38,Other,0,1,0,0,0,0,Strength,,
31,Vorpal Snicker Jackpot,14 ⚔️ \n Jackpot: 20 ⚔️ instead,-1,Damage,20,0,0,0,0,0,Attack,,
32,Insidious Brew Jackpot,10 🧪 \n Jackpot: 20 🧪 instead,-1,Poison,0,0,0,20,0,0,Poison,,
33,Poisoned Cocktail Jackpot,2x 🧪 \n Jackpot: 3x 🧪 instead,-1,Poison,0,0,0,0,0,0,Poison,MULT_POI_3,
34,â€œOff With Their Heads!â€ Jackpot,15 ⚔️ \n Jackpot: 30 ⚔️ instead,-1,Damage,30,0,0,0,0,0,Attack,,
35,Royal Decree Jackpot,5 ⚔️ \n Jackpot: 2x ⚔️,-1,Damage,5,0,0,0,0,0,Attack,MULT_DMG_2,
36,Heart-Shaped Box Jackpot,5 🛡️ \n Jackpot: 20 🛡️ instead,-1,Defense,0,0,20,0,0,0,Block,,
37,Red Paint Jackpot,10 ⚔️ \n Jackpot: 10 🛡️,-1,Other,10,0,10,0,0,0,Attack,,
38,Steady Stance Jackpot,1 💪 \n Jackpot: 2x 💪,-1,Other,0,1,0,0,0,0,Strength,MULT_STR_2,
